,author,body,number,created_at,empty
0,Darksonn,See https://github.com/tokio-rs/tokio/pull/4162 for how we handled the same issue in Tokio.,1979,2021-11-06T07:48:42Z,0
1,jackHedaya,It looks like this issue has been resolved on the forum post if the moderators want to close this,1979,2021-12-02T16:30:45Z,0
2,Goodjooy,"Well it is my fault, I should read the entity of form data instant of just keeping a `DataStream`
if I not read any data, there will not hit the boundary ",2015,2021-12-13T10:34:22Z,0
3,SergioBenitez,"All of these cases can be easily implemented via custom `FromParam` implementations. With [const generics](https://github.com/rust-lang/rfcs/pull/2000), we could even have generic implementations. For instance, you could have an `Ext<T: FromParam, const &str>` type that implements `FromParam` by removing the extensions in its const parameter from the incoming request parameter and then converting the rest into `T` via its `FromParam` implementation. You'd then use it like:

```rust
#[get(""/<name>"")]
fn item(name: Ext<&RawStr, "".json"">) { ... }
```

There are downsides to this approach. First, it complicates the type signature, though it could also be argued that it simplifies the route syntax while making the requirements more obvious. Second, and more importantly, it means that Rocket will see the following two routes as colliding, even though they aren't:

```rust
#[get(""/<name>"")]
fn first(name: Ext<&RawStr, "".json"">) { ... }
```

```rust
#[get(""/<name>"")]
fn second(name: Ext<&RawStr, "".xml"">) { ... }
```

This would mean that you'd need to manually rank at least one of the two routes which is suboptimal given that Rocket _could_ have known about the non-collision. Of course, we could teach Rocket to assume that different `const` arguments in types indicates a non-collision, but that could be a fragile, and even incorrect change.

The decision to disallow compound dynamic parameters was very intentional, and in particular, was made conservatively. The internal routing mechanism [actually supports](https://github.com/SergioBenitez/Rocket/blob/master/examples/manual_routes/src/main.rs#L71) all of these cases, but it is not exposed to the high-level interface for various reasons. I'm not convinced one way or another. I'm inclined to leave things as they are, prompting for the creation of custom `FromParam` implementations when needed, and ultimately having a collection of generic implementations using `const` generics in Rocket itself. If we decide to support this in the future, the change can be made in a fully backwards-compatible fashion.

By the way, you should be using content negotiation instead of extensions in a path to negotiate content. Rocket makes this easy via the `format` route attribute parameter:

```rust
#[get(""/name"", format = ""application/json"")]
fn item(name: String) { .. }
```
",339,2017-07-08T21:08:51Z,0
4,kardeiz,"@SergioBenitez thanks for the reply and workaround.

To be perfectly clear, I am not requesting _compound dynamic parameters_ in the sense of e.g.:

    #[get(""/<name><something_else>"")]

where the parser would have to dynamically determine the bounds of each capture segment. Dynamic segments as I've requested would still have to be delimited by a literal char or string (or end of string).

Can you explain a little more the reasoning behind disallowing dynamic segments as identified above? It seems to me that wanting to capture parts of a URL path is related to but separate from the concept of ""path segments"". It seems an artificial limitation to require that the parts captured be delimited by '/'.

Thanks!",339,2017-07-10T14:20:04Z,0
5,max-frai,"+1 for this. I'm going to move my web application from php into rocket and it's not possible now. I already have routes like: `/<id>-<slug>` or even: `/<type>/filter:<fitler1>,<filter2>`. I can't change this because site is already indexed by search systems and there is a lot of traffic.",339,2017-07-23T10:02:13Z,0
6,SergioBenitez,"@max-frai Just so it's clear: any URL scheme is possible with Rocket, as I illustrated in my first comment. The question is: which should Rocket implement support for out-of-the-box?",339,2017-07-25T06:42:41Z,0
7,ebarnard,"I've also run up against this issue when implementing a server for an api that uses `<name>.json` style paths.

While this url style can be made to work using `FromParam` with a custom type it seems at odds with the framework's focus on ease-of-use and expressibility to require users to write this boilerplate which will presumably be separately reimplemented by many users of the library.

As this case is already supported by the internal routing mechanism it seems odd that it is not supported in route decorators. I think only modifications to `parser::uri::valid_segments` in the codegen module are required and I'd be happy to make them.",339,2017-08-07T11:59:02Z,0
8,OddBloke,"This is something that I just hit when trying to build something that matches an existing implementation. I'll use the type signature workaround described, but wanted to register that I'd like to see this fixed.

(For the record, I just want to have "".xml"" at the end of my URL; I don't believe I would need anything more than ""."" being considered a path separator for that.)",339,2018-07-06T04:12:42Z,0
9,OddBloke,"Ugh, actually, I just realised that the example given involves writing a whole bunch of type boilerplate just to be able to append "".xml"" to a pattern. (I had assumed that the `Ext` described was provided by rocket for such cases.)

So I guess I'll just handle this inside the handler function; that seems substantially less painful.",339,2018-07-06T04:18:42Z,0
