,author,body,number,created_at,empty
0,madmaxio,Can be workarounded with manual build with wb cli.,855,2021-12-03T02:49:14Z,0
1,Urhengulas,"Hello @Tarnadas 👋🏽

The patch looks great :)

You should be able to make `wasm-opt` run successfully by passing the `--enable-reference-types` command line flag. This way you could still get the optimization 🚀 ",888,2020-08-08T23:09:32Z,0
2,richardlett,"I tried this out, and found this bug. Not sure if its related to this particular commit, or due to wasm-bindgen.

https://github.com/rustwasm/wasm-bindgen/issues/2291
",888,2020-08-21T00:57:16Z,0
3,Tarnadas,"This shouldn’t be related to this particular commit.

It rather sounds like a memory allocation issue, which might be totally normal. I’m not sure if there is an option for wasm-bindgen to increase the initial memory size, but you could do it manually in the generated JS glue code file and see if that fixes your problem:
https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/WebAssembly/Memory

Also I don’t quite get why this shouldn’t happen without reference types enabled.

Btw today I will be fixing the wasm-opt stuff. Thanks for the hint @Urhengulas",888,2020-08-21T04:30:02Z,0
4,richardlett,"Excuse my ignorance on javascript/wasm.

I cant seem to find in the glue code where to memory is allocated -- I can find  a buffer with ref-types disabled, as there is a ""heap"", but I can't see anything of the like here.

Strangely, even if I'm just missing that, I preallocated  using `Vec::with_capacity(1 million)`, (which is not included in the benchmarks), and the issue is totally outside of that (and there's no further allocations are made besides the Vec, unless the gluecode is doing it somehow, but that does not seem to be the case).",888,2020-08-21T05:59:18Z,0
5,Tarnadas,"Apparently the JS glue code does not instantiate a WebAssembly memory, which would result in the default values being used.

You should see a line in your JS glue code which looks somewhat like this:
```js
const wasmModule = new WebAssembly.Module(bytes);
const wasmInstance = new WebAssembly.Instance(wasmModule, imports);
```

Here you can instantiate a WebAssembly Memory with a larger initial size:
```js
const wasmModule = new WebAssembly.Module(bytes);
const wasmInstance = new WebAssembly.Instance(wasmModule, {
  js: {
    mem: new WebAssembly.Memory({ initial: /* large number */, maximum: /* large number */ })
  },
  ...imports
});
```",888,2020-08-21T08:09:03Z,0
6,Tarnadas,"Unfortunately adding the `--enable-reference-types` to wasm-opt doesn't do the trick. I still get the same error.

Should we still accept the PR as is and add a tracking issue until this has been fixed by either wasm-bindgen or wasm-opt?
What do you think @ashleygwilliams?",888,2020-08-21T10:21:32Z,0
7,whatisaphone,The corresponding flag for wasm-bindgen is called `--reference-types`. Maybe we should use the same longer name here for consistency?,888,2020-09-12T20:08:12Z,0
8,Tarnadas,"That sounds definitely like a good idea. I’ll update my PR, but I’m a little worried about the maintenance of this repository ",888,2020-09-20T19:08:45Z,0
9,Tarnadas,"Hey @drager @azriel91,
I just rebased my PR with the latest master branch.
Any chance this could be reviewed and merged?",888,2021-07-02T15:23:58Z,0
10,azriel91,"@Tarnadas heya, I'm simply a fellow contributor; that said the changes look good :v:",888,2021-07-05T08:13:29Z,0
11,Tarnadas,"Hey, I haven’t looked into this for a very long time. Maybe we no longer need to disable wasm-opt. Has it been updated in the meantime?",888,2021-10-14T10:48:07Z,0
12,ashleygwilliams,i think this sounds great! once i get 0.6.0 out the door we can schedule this for the next release,457,2018-12-18T21:03:38Z,0
