,author,body,number,created_at,empty
0,carllerche,I debugged this some and it seems like the scheduler is stuck checking the queue for max ticks so doesn’t see that the runtime should shut down.  ,4290,2021-12-01T00:43:36Z,0
1,Darksonn,"I do not think that the behavior is incorrect, actually. We don't guarantee anything about when we poll which tasks, so if we want to poll a bunch of other tasks before we poll main again, then that is allowed under our guarantees. The runtime shuts down when it's supposed to, i.e. immediately when `main` returns.

The other task in the `select!` is not cancelled until `main` returns because dropping the `JoinHandle` doesn't cancel the task.",4290,2021-12-01T11:17:14Z,0
2,austenadler,"It could definitely not be a bug; I'm not too familiar with the guarantees of the library, but if ""runtime shutdown *immediately* when main returns"" is a promise, isn't this being broken? The task is being polled 57 times after (the async) main returns here because the poller doesn't know the runtime needs to be shut down. 

Edit: I see that after ""done"" in the example above, there is no code running. I will modify the above example without wrapping it in a tokio::spawn",4290,2021-12-01T17:41:01Z,0
3,Darksonn,"It really should shut down properly once main returns, even if you remove the `tokio::spawn` wrapping.",4290,2021-12-01T21:47:40Z,0
4,MOZGIII,"Oh, so this is why my tests are failing. Is there a workaround we could use in the meantime?",1897,2020-06-10T20:43:21Z,0
5,Darksonn,@carllerche So much has changed since this issue was filed. Is this still the case?,1897,2020-06-10T20:57:20Z,0
6,MOZGIII,"In my code, with time paused, `delay_for` set for one hour completes almost immediately. I expect this to happen only if I advance the time, but not without it. Maybe I'm wrong, but I assume this is what's causing that behavior.
Thus, something like this must still be present.

This is with `tokio` `0.2.21`.

UPD: this occasionally happens in the multi-threaded scheduler with `spawn` instead of `block_on` too. But the fact that time is paused seems to be relevant.",1897,2020-06-10T21:00:03Z,0
7,Darksonn,That sounds like a different issue. @MOZGIII can you open a new issue about paused time advancing unexpectedly?,1897,2020-06-11T20:36:46Z,0
8,MOZGIII,"https://github.com/tokio-rs/tokio/issues/2090 is already opened. Honestly, I found that one first and then came here, as this is referred as a root cause for than one. :smile: ",1897,2020-06-11T21:05:37Z,0
9,seunghunee,"#3582
I think we can close this issue.",1897,2021-12-02T12:29:33Z,0
10,taiki-e,"FYI, links to some distributions' rustc package and firefox's rust update policy:
- https://packages.debian.org/en/stable/rustc
- https://packages.ubuntu.com/search?lang=en&suite=all&keywords=rustc
- https://wiki.mozilla.org/Rust_Update_Policy_for_Firefox (it doesn't seem to be updated...)
",3412,2021-01-20T07:11:46Z,0
11,jaskij,"As someone using embedded Linux, I'll throw some extra info about Yocto/OpenEmbedded - one of the popular  frameworks for building embedded Linux images and distributions.

- Current LTS can be made to support 1.49 and 1.51 through an external layer
- Latest release supports 1.54 in core
- Releases are on a half year cadence April and October and will probably use latest stable, to within one or two minors
- There's an upcoming LTS in April
- LTS support is two years minimum",3412,2021-12-05T16:30:50Z,0
12,Darksonn,"This is a breaking change, but we also have two other pending changes that are breaking, so it might be time to do a breaking tokio-util release soon.",4241,2021-11-18T17:18:02Z,0
13,Darksonn,Thanks.,4303,2021-12-07T10:07:02Z,0
14,Darksonn,Thanks.,4303,2021-12-07T10:07:04Z,0
15,Darksonn,"Although this could be useful, it wont help with your use-case. You have to return a reference from the closure, and `RwLockReadGuard<U>` is not a reference.",4305,2021-12-07T15:58:30Z,0
16,Darksonn,"What you implemented here doesn't actually integrate with Tokio's coop system. You can see an example of how to do that [here][1] (the `poll_proceed` and `made_progress` calls). There's an overview of the coop strategy used by Tokio [here][2].

[1]: https://github.com/tokio-rs/tokio/blob/ee4b2ede83c661715c054d3cda170994a499c39f/tokio/src/runtime/task/join.rs#L203-L240
[2]: https://tokio.rs/blog/2020-04-preemption",4300,2021-12-05T14:43:26Z,0
17,Darksonn,"Also, seems like you have a warning in the code:
```text
error: unused import: `empty`
 --> tokio/tests/io_util_empty.rs:2:17
  |
2 | use tokio::io::{empty, AsyncBufReadExt, AsyncReadExt};
  |                 ^^^^^
  |
  = note: `-D unused-imports` implied by `-D warnings`

error: could not compile `tokio` due to previous error
```",4300,2021-12-05T14:45:21Z,0
18,Darksonn,"And also, welcome! ",4300,2021-12-05T14:52:20Z,0
19,BraulioVM,"Thanks for all the feedback and all the pointers! 

The coop system makes a lot of sense. I implemented the changes but I believe they won't fix the original issue! That's because of how `timeout` and `Sleep` are implemented.

See the future implementation for `Timeout`
https://github.com/tokio-rs/tokio/blob/ee4b2ede83c661715c054d3cda170994a499c39f/tokio/src/time/timeout.rs#L163-L183

and `poll_elapsed` for `Sleep`
https://github.com/tokio-rs/tokio/blob/ee4b2ede83c661715c054d3cda170994a499c39f/tokio/src/time/driver/sleep.rs#L379-L388

`empty::read` may return `Polling` when its budget decreases to 0, but then `me.delay.poll` will also always return `Polling` in that case, even if the timeout has been hit, because `Sleep` will also observe that it has no budget. When the executor takes another stab at completing the task, with a fresh new budget, it will go back to `empty::read`, until the budget is exhausted again.

I've observed this behaviour locally after applying the changes. Does this sound reasonable to you?

As for next steps:

1. I could re-implement the tests to use an async block and `tokio::task::yield_now`, and we could get that merged, but being aware that this change doesn't fix the original issue.
2. I could try fixing the original issue, and I believe this would involve changing the implementation of the `Timeout` future. Maybe poll the `Sleep` with an unconstrained budget? I don't know, I'm sure you can come up with better approaches, and that's why I'd prefer to hear from you before working on any specific fix. 

What are your thoughts?",4300,2021-12-06T13:20:01Z,0
20,Darksonn,"Thank you for pointing that out, that explains why some other case I was thinking of also doesn't work. We do want to make `tokio::io::empty` use coop, but we should also fix the timer.

Can you update this PR with the changes I requested for `tokio::io::empty`, and then open a new issue or PR for the issue with timeout? It seems like we can fix the timeout by having it check the budget before and after polling the task, and having it unconditionally check the timer if the budget was exhausted somewhere inside the task, but still abort if the budget was exhausted before the timeout got polled.

If you want to discuss the changes to timeout further before opening a PR, then please open an issue so we can do it there instead of here.",4300,2021-12-06T14:23:26Z,0
21,BraulioVM,Sounds like a plan!,4300,2021-12-06T15:08:00Z,0
22,BraulioVM,I will fix the failing build later today,4300,2021-12-06T16:04:04Z,0
23,BraulioVM,Is there anything I should do before this gets merged? ,4300,2021-12-10T10:03:24Z,0
24,Darksonn,"Let's wait for std to stabilize `try_exists`. I'd rather not stabilize this, then see std change the signature of theirs so we don't match.",4299,2021-12-10T11:42:03Z,0
25,Darksonn,"I'm generally not a fan of these methods and try to avoid recommending them. I'd prefer to recommend other alternatives such as spawning multiple tasks, collecting into a `FuturesUnordered`, or using the `StreamExt` combinators.",4287,2021-12-10T11:53:30Z,0
26,Darksonn,Your PR doesn't actually expose `Elapsed`.,4286,2021-12-10T11:54:06Z,0
27,mathstuf,Hmm. So how does `Timeout` get exposed then? But looking at the docs…it isn't either. I guess all of the impls and related structures need exposed then?,4286,2021-12-10T12:38:11Z,0
28,Darksonn,"I suppose, yes. ",4286,2021-12-10T12:42:43Z,0
29,Darksonn,This is being discussed at https://users.rust-lang.org/t/my-benchmark-done-elixir-is-faster-than-rust-tokio-how-do-i-improve-rust-code/68577/7,4311,2021-12-10T12:38:03Z,0
30,Darksonn,Thoughts @ipetkov ?,4312,2021-12-10T12:43:21Z,0
31,ipetkov,"Unfortunately, I think this is the only way to accomplish this. We pretty much wrap the stdlib types, and there aren't any OS extensions that I could find which do the `setpgid` calls for us",4312,2021-12-10T17:57:23Z,0
32,kpcyrd,Would it help if I propose this extension in the stdlib?,4312,2021-12-10T18:10:59Z,0
33,ipetkov,"It's worth a shot! We don't *need* to wait on the stdlib to potentially add such a wrapper, but having the feature parity would be nice",4312,2021-12-10T18:13:41Z,0
34,Darksonn,You need to update `tokio-stream` too.,4313,2021-12-10T14:23:21Z,0
35,Darksonn,Build failure is [mio#1539](https://github.com/tokio-rs/mio/issues/1539).,4313,2021-12-10T16:40:31Z,0
36,tobz,"Per @Darksonn, created a `tokio-util-0.6.x` branch for any future backports, etc.",4313,2021-12-10T18:25:56Z,0
37,hawkw,"Reading from `io::empty` always returns immediately, so the loop will never yield. The timeout cannot fire unless the main task yields, because it's blocking the thread.

If you spawn the `async` block inside the timeout as a separate task, you should see it time out as expected: https://play.rust-lang.org/?version=stable&mode=debug&edition=2021&gist=8c1de2e3ce490e8d57ff848f32ae95db",4291,2021-12-01T23:33:46Z,0
38,hawkw,It occurs to me that `io::empty` should maybe participate in [cooperative yielding](https://tokio.rs/blog/2020-04-preemption) to prevent busy-loops like this from hanging the entire runtime...,4291,2021-12-01T23:34:28Z,0
39,Darksonn,Thanks for reporting this. We should make sure that `io::empty` and friends participate in coop.,4291,2021-12-02T08:36:40Z,0
40,francis-starlab,"Possibly related/same thing:

```rust
use std::process::Stdio;
use std::time::Duration;
use tokio::io::AsyncReadExt;
use tokio::process::Command;
use tokio::time::timeout;

#[tokio::main]
async fn main() {
    let mut command = Command::new(""yes"");
     command.stdout(Stdio::piped());
    let mut spawned = command.spawn().expect(""error spawning"");
    let mut stdout = spawned.stdout.take().expect(""no stdout?"");
    if timeout(Duration::from_millis(1000), async {
        loop {
            let mut buf = [0u8; 1];
            let _ = stdout.read(&mut buf).await;
        }
    }).await.is_err() {
        println!(""timedout"");
    };
}

```


Assuming you have a fast enough yes on your system, then the above also doesn't timeout when it should.",4291,2021-12-02T18:42:09Z,0
41,BraulioVM,"Actually the original issue isn't fixed yet because of https://github.com/tokio-rs/tokio/pull/4300#issuecomment-986769404 . I should have updated the PR body. Anyway, I'm working on a PR that finally fixes this problem.

`tokio::io::empty` does participate in coop now, which is what the currrent title of the issue refers to, so I guess it could make sense to keep it closed.",4291,2021-12-11T13:14:34Z,0
42,Darksonn,"> The gRPC server is started by calling `grpcio::Server::start()` in `main()` (not using `#[tokio::main]`), which then blocks to run the event loop by passing a `futures::channel::oneshot` to `Runtime::block_on()` that is only ever completed after ctrlc signal is caught.

Can you elaborate on where exactly this `block_on` call occurs?",4309,2021-12-09T22:44:03Z,0
43,Darksonn,@ipetkov This appears to be related to `tokio::process`. Thoughts on the above?,4309,2021-12-09T22:44:53Z,0
44,iitalics,"> Can you elaborate on where exactly this block_on call occurs?

It looks effectively like this:

```rust
fn entrypoint() -> Result<(), AppError> {
   let tokio_runtime = tokio::runtime::Runtime::new()?;
   ...
   grpcio_server.start();
   let shutdown_fut = ctrlc_rx.map(|_| Ok(()));
   tokio_runtime.block_on(shutdown_fut)
}

fn main() {
  std::process::exit(match entrypoint() {
    Ok(_) => 0,
    Err(_) => ...
  })
}
```",4309,2021-12-09T22:49:48Z,0
45,Darksonn,"Right, so `grpcio_server` is started in the background and the `start` call does not actually block? If so, and if you have no other uses of `block_on`, then coop is not related.",4309,2021-12-09T22:54:22Z,0
46,Darksonn,How are you reimplementing `wait_with_output`?,4309,2021-12-09T22:58:09Z,0
47,iitalics,"> How are you reimplementing wait_with_output?

Here is what was working (exact code): https://gist.github.com/iitalics/710401de72725fa4b6db27742124ae24",4309,2021-12-09T23:01:32Z,0
48,Darksonn,"The broken version using `wait_with_output` appears incomplete, e.g. I am surprised that the borrow-checker is letting you return the `write_all` future from the `and_then` call when `write_all` only borrows `stdin` and `stdin` is in a local variable in the closure. 

Anyway, it seems like one difference between the two snippets is that your original snippet using `wait_with_output` does not appear to be closing `stdin` before calling `wait_with_output`.",4309,2021-12-09T23:08:02Z,0
49,iitalics,"Right, that code is paraphrased, I forgot to make it borrow check compliant. I fix the borrow checking issue by using an async move block so its actually like this:
```rust
let fut = Box::pin(async move { stdin.write_all(input.as_bytes()).await });
fut.and_then(move |_| child.wait_with_output())
```",4309,2021-12-09T23:10:51Z,0
50,iitalics,A version of `communicate()` which drops the stdout/stderr handles inside `read_*_fut` block also causes the crash to happen (at at that point it is nearly identical to `wait_with_output()`),4309,2021-12-09T23:11:54Z,0
51,ipetkov,"First thing that comes to mind: have you tried splitting out the stdin.write and stdout.read into two separate futures? I suppose this is what you're essentially doing with the `communicate()` reimplementation, but I think the culprit could be that the call to `child.wait_with_output` is not started _until `write_all` completes_.

My guidance for piping input/output of a child process is always do them independently, otherwise if the child hangs because its stdout buffer is full (parent isn't reading from it yet!) it may stop reading its input, in which case the parent could get stuck writing to it. And if the parent is buffering data to send to the child with no back-pressure it could be holding that data for too long and running out of memory.

Could you try changing the code as follows and see if the OOM reproduces still?

```rust
let cmd = tokio::process::Command::new(...)...;
futures::future::lazy(|_| cmd.spawn())
  .and_then(|mut child| {
    let mut stdin = child.stdin.take().unwrap();
    tokio::spawn(async move { stdin.write_all(...).unwrap() });

    child.wait_with_output()
  })
  .then(|result| ...);
```
",4309,2021-12-10T01:28:02Z,0
52,iitalics,"I'm testing this right now. But the input buffer is completely in memory beforehand (see how my `communicate()` takes String argument) --- so I would expect this to deadlock, not crash.",4309,2021-12-10T16:24:17Z,0
53,iitalics,"I've just observed the crash again when using the following:

```rust
async move {
    tokio::spawn(async move {
        stdin.write_all(input.as_bytes()).await
    });
    child.wait_with_output().await
}
```",4309,2021-12-10T16:53:40Z,0
54,ipetkov,"Okay, thanks for testing that. Next thing that comes to mind: do you have an idea of how much data the child is writing back on stdout/stderr? Do you need all of that data present within the parent process or could that be routed elsewhere?

`wait_with_output` will basically buffer _everything_ for as long as the child process continues to write data.

My first recommendation is to avoid having the parent read any streams it doesn't care about (e.g. redirect stderr to /dev/null or to a file directly). My second recommendation would be to change the application so that it can process the data in a more streaming fashion instead of capturing all the output up front, so that it can discard data as quickly as possible",4309,2021-12-10T18:04:00Z,0
55,iitalics,"I mentioned before that this crash only appeared after having upgraded the tokio infrastructure of the application. Before, there is no problem with collecting all subprocess output -- behavior I'm not interested in changing.",4309,2021-12-12T02:39:24Z,0
