,author,body,number,created_at,empty
0,thiolliere,"yes, but we have to careful that people don't miss this change, and execute some system stuff 2 times.
Maybe for a better transition we should do: rename `AllPalletsWithSystem to AllPallet` in another release or find another name which doesn't conflict, like `AllPalletsTuple` or `PalletsTuple` while deprecating `AllPallets`",9105,2021-06-14T11:51:52Z,0
1,KiChjang,I like to be more pedantic and have `AllPalletsWithSystem` and `AllPalletsWithoutSystem`. That way there's no way people can mistake one for the other.,9105,2021-06-14T11:55:57Z,0
2,TomaszWaszczyk,"The issue relies only on renaming  types `AllPallets` and `AllPalletsWithSystem` or also some changes in logic? What version of changes should be implemented, version of @shawntabrizi or @KiChjang ?

I look for practical experience in Rust and I am willing to implement simple tasks.",9105,2021-09-27T22:12:59Z,0
3,thiolliere,"IMO we should do KiChjang suggestion, otherwise people will very likely miss the breaking change.",9105,2021-09-28T10:39:17Z,0
4,thiolliere,"Or a new name with deprecated old type alias
```rust
type AllPalletsTuple = ..
type AllPalletsTypleWithoutSystem = ..
#[deprecated(..)]
type AllPallets = AllPalletsTupleWithoutSystem
#[deprecated(..)]
type AllPalletsWithSystem = AllPalletsTuple
```",9105,2021-09-28T10:42:34Z,0
5,thiolliere,maybe this should be into substrate 2.0,6280,2020-08-10T14:57:44Z,0
6,thiolliere,"maybe one solution is to fix it and allow to keep old behavior with an attribute in construct_runtime:
```rust
construct_runtime!(
#[set_all_module_reversed_order]
	pub enum Runtime where
		Block = Block,
		NodeBlock = node_primitives::Block,
		UncheckedExtrinsic = UncheckedExtrinsic
	{
...
})
```
",6280,2020-12-03T14:37:03Z,0
7,gavofyork,I believe two of the consensus pallets' `on_initialize` is sensitive to their ordering.,6280,2021-05-17T10:35:01Z,0
8,apopiak,"IMO we will want to have the same order for all hooks, including `on_runtime_upgrade`. (And some runtime upgrades are sensitive to the order.)
Maybe we will want `on_finalize` in reverse order.",6280,2021-05-17T11:04:10Z,0
9,thiolliere,"maybe we can use some on_finalize_requirement and on_initialize_requirement in hooks, those would return the required pallet to be executed before.

```rust
enum HookRequirement {
  PalletIndex(u32),
  Misc([u8; 8]),
}

impl Hooks for Pallet {
  fn on_finalize_requirement() -> Vec<HookRequirement> { ... }
}
```",6280,2021-05-18T09:35:24Z,0
10,stale[bot],"Hey, is anyone still working on this? Due to the inactivity this issue has been automatically marked as stale. It will be closed if no further activity occurs. Thank you for your contributions.
",6280,2021-07-07T17:13:11Z,0
11,thiolliere,issue is still relevant,6280,2021-07-08T08:47:09Z,0
12,thiolliere,"for the polkadot It seems we don't need any changes:
maybe scheduler should be put last instead of 2nd. So that the execution of scheduled call happens after other pallet initialization ?",10043,2021-10-18T15:13:27Z,0
13,shawntabrizi,Does `construct_runtime!` require System is first?,10043,2021-10-30T14:26:00Z,0
14,thiolliere,"> Does `construct_runtime!` require System is first?

no, it is allowed to have it not first",10043,2021-10-30T14:31:01Z,0
15,shawntabrizi,"> > Does `construct_runtime!` require System is first?
> 
> no, it is allowed to have it not first

Then this should also be a note in the PR IMO, that ordering is relevant even more now",10043,2021-10-30T14:33:28Z,0
16,thiolliere,so I added `AllPalletsReversedWithSystemFirst` which allows not to break order at all. (except pre_upgrade/post_upgrade but I think they are minor),10043,2021-10-30T15:00:47Z,0
17,thiolliere,"> The code looks good but abstaining from approving for now since I think we can do a better job at providing an upgrade guide for teams, to do either of
> 
>     1. use `AllPalletsReversedWithSystem`, which would mean they are sticking to their old logic, with no change to `construct_runtime`
> 
>     2. Use the new `AllPalletsWithSystem`, but this would mean that they might need to reorder some stuff in `construct_runtime`.
> 
> 
> I also wonder if we could come up with a test scenario to make sure this order never changes. I can imagine something like a ui test, where a representation of the order of `AllPallets` (in any form) is stored as a file and then checked per runtime.

Yes I added your suggestion to provide an upgrade guide,
Order of execution of hooks is tested in the test in frame-support-test, thus this PR changes them.
As you suggest I added some test for all the type alias to ensure they don't change in https://github.com/paritytech/substrate/pull/10043/commits/2180da699391960358275dfd454de71a0e342159
",10043,2021-11-22T04:23:30Z,0
18,thiolliere,bot merge,10043,2021-11-23T23:07:39Z,0
19,paritytech-processbot[bot], Error: It's not possible to meet the minimal approval count of 1 in https://github.com/paritytech/polkadot/pull/4181,10043,2021-11-23T23:07:47Z,0
20,thiolliere,bot merge,10043,2021-11-23T23:09:41Z,0
