,author,body,number,created_at,empty
0,highfive,"Heads up! This PR modifies the following files:
 * @asajeffrey: components/constellation/network_listener.rs
 * @cbrewster: components/constellation/network_listener.rs",28634,2021-11-29T01:51:24Z,0
1,jdm,"According to https://fetch.spec.whatwg.org/#concept-response-location-url (step 4), we should do this in this code instead: https://github.com/servo/servo/blob/6fced22e4784714540a2bf31b00c5f8149cbba87/components/net/http_loader.rs#L834-L845.",28634,2021-11-29T02:13:16Z,0
2,negator,"Done. Thanks @jdm, that was definitely the better place to put it, and much simpler.",28634,2021-11-29T03:52:31Z,0
3,negator,Would it be better to perform this logic under the `Substep 4.` section instead for clarity?,28634,2021-11-29T03:56:43Z,0
4,jdm,"I think that would end up being clearer, yes.",28634,2021-11-29T04:19:59Z,0
5,jdm,@bors-servo r+,28634,2021-11-30T14:08:21Z,0
6,bors-servo,":pushpin: Commit 94ea422 has been approved by `jdm`

<!-- @bors-servo r=jdm 94ea42240414b538f96a290cd853f01d59bb79f3 -->",28634,2021-11-30T14:08:22Z,0
7,bors-servo,:hourglass: Testing commit 94ea42240414b538f96a290cd853f01d59bb79f3 with merge a20bb3376647dc1294aa661a392648ec436e5f53...,28634,2021-11-30T14:08:25Z,0
8,bors-servo,:broken_heart: Test failed - [checks-github](https://github.com/servo/servo/runs/4369720504?check_suite_focus=true),28634,2021-11-30T15:41:29Z,0
9,negator,"Looks like a transient error:
`
Error downloading openssl-111.3.0+1.1.1c-vs2017-2019-09-18: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond. The failing URL was: https://servo-deps-2.s3.amazonaws.com/msvc-deps/openssl-111.3.0%2B1.1.1c-vs2017-2019-09-18.zip
`

https://github.com/servo/servo/runs/4368501830?check_suite_focus=true

Can we re-kick the test?",28634,2021-11-30T17:16:46Z,0
10,jdm,@bors-servo retry,28634,2021-12-01T00:23:46Z,0
11,bors-servo,:hourglass: Testing commit 94ea42240414b538f96a290cd853f01d59bb79f3 with merge 79fb5ff6d0fb3fb414548e00a10d33d4f518929d...,28634,2021-12-01T03:49:54Z,0
12,bors-servo,":sunny: Test successful - [checks-github](https://github.com/servo/servo/runs/4377713420?check_suite_focus=true), [status-taskcluster](https://community-tc.services.mozilla.com/tasks/groups/QY2Ovpj8RfqKtyvt9rbDVw)
Approved by: jdm
Pushing 79fb5ff6d0fb3fb414548e00a10d33d4f518929d to master...",28634,2021-12-01T06:30:19Z,0
13,jdm,"@bors-servo r+
Thanks!",28635,2021-12-01T00:23:12Z,0
14,bors-servo,":pushpin: Commit 00a7c17 has been approved by `jdm`

<!-- @bors-servo r=jdm 00a7c172e2cd392e73d893d556f9341861ebe0e0 -->",28635,2021-12-01T00:23:13Z,0
15,bors-servo,:hourglass: Testing commit 00a7c172e2cd392e73d893d556f9341861ebe0e0 with merge 6b3848765542e1b9bf9b456730424c60ae9930af...,28635,2021-12-01T00:23:17Z,0
16,jdm,"`./mach test-tidy` is complaining:
```
Diff in \\?\D:\a\servo\servo\components\layout_2020\flow\mod.rs at line 152:
                 .iter()
                 .map(|box_| {
                     box_.borrow_mut()
-                        .inline_content_sizes(layout_context, writing_mode)                    
+                        .inline_content_sizes(layout_context, writing_mode)
                 })
-                .reduce(ContentSizes::max).unwrap_or_else(ContentSizes::zero),
+                .reduce(ContentSizes::max)
+                .unwrap_or_else(ContentSizes::zero),
             Self::InlineFormattingContext(context) => {
                 context.inline_content_sizes(layout_context, writing_mode)
             },
```
You'll need to run `./mach fmt` and commit the changes.",28635,2021-12-01T01:56:24Z,0
17,negator,"done:
```
./mach test-tidy
 0:04.91 INFO Diffing old and new manifests /Users/navgattu/Documents/dev-git/servo/tests/wpt/metadata/MANIFEST.json
 0:10.44 INFO Diffing old and new manifests /Users/navgattu/Documents/dev-git/servo/tests/wpt/mozilla/meta/MANIFEST.json
 0:10.62 INFO Diffing old and new manifests /Users/navgattu/Documents/dev-git/servo/tests/wpt/webgl/meta/MANIFEST.json
 0:11.07 INFO Diffing old and new manifests /Users/navgattu/Documents/dev-git/servo/tests/wpt/webgpu/meta/MANIFEST.json
Checking the config file...
Checking the wpt manifest file...
Checking directories for correct file extensions...

Running the WPT lint on ./tests/wpt/web-platform-tests/...

Running the WPT lint on ./tests/wpt/mozilla/tests/...
Checking files for tidiness...
  Progress: 100% (1/1)
tidy reported no errors.
rustfmt 1.4.38-nightly (891ca5f6 2021-11-15)
clang-format not installed. Skipping CPP formatting.
```",28635,2021-12-01T02:14:36Z,0
18,jdm,@bors-servo r+,28635,2021-12-01T03:49:51Z,0
19,bors-servo,":pushpin: Commit 0e3b52a has been approved by `jdm`

<!-- @bors-servo r=jdm 0e3b52af2761d8aa1d31320b4b342d100f50e3ca -->",28635,2021-12-01T03:49:51Z,0
20,bors-servo,:hourglass: Testing commit 0e3b52af2761d8aa1d31320b4b342d100f50e3ca with merge f77e66bbf8cc295af4a88e8d0734ca001eb0adb3...,28635,2021-12-01T06:30:25Z,0
21,bors-servo,":sunny: Test successful - [checks-github](https://github.com/servo/servo/runs/4378866364?check_suite_focus=true), [status-taskcluster](https://community-tc.services.mozilla.com/tasks/groups/dvdK6OrtRKyRT6rk51fP1A)
Approved by: jdm
Pushing f77e66bbf8cc295af4a88e8d0734ca001eb0adb3 to master...",28635,2021-12-01T08:49:14Z,0
22,highfive,"Heads up! This PR modifies the following files:
 * @asajeffrey: components/script/dom/bindings/principals.rs
 * @kichjang: components/script/dom/bindings/principals.rs",28636,2021-12-01T05:53:12Z,0
23,highfive,"<img src=""http://www.joshmatthews.net/warning.svg"" alt=""warning"" height=20> **Warning** <img src=""http://www.joshmatthews.net/warning.svg"" alt=""warning"" height=20>

* These commits modify script code, but no tests are modified. Please consider adding a test!",28636,2021-12-01T05:53:14Z,0
24,jdm,@bors-servo r+,28636,2021-12-02T06:43:51Z,0
25,bors-servo,":pushpin: Commit bcb1374 has been approved by `jdm`

<!-- @bors-servo r=jdm bcb1374256da69d905a75dd63b39f293cbada8b6 -->",28636,2021-12-02T06:43:53Z,0
26,bors-servo,:hourglass: Testing commit bcb1374256da69d905a75dd63b39f293cbada8b6 with merge 4597df8fd705f85224147d532434e813b74b6faa...,28636,2021-12-02T06:43:57Z,0
